snow,-0.0757507 -0.015506678 -0.104461096 -0.09008205 -0.024283925 -0.18808535 -0.12671475 0.3944293 0.1430054 -0.6620832 0.44711632 0.02462194 -0.054546196 0.051331453 0.023938023 -0.13408972 -0.061359942 0.29715547 0.22095968 -0.4534841 0.57145905 0.117923595 0.33948404 -0.17508961 0.035750564 -0.46184358 0.31680974 0.49316207 -0.064732395 -0.079042986 0.12110186 -0.05974446 0.37732482 0.35485557 0.16512686 -0.06846767 -0.32662565 0.37882644 0.039818704 0.19395918 0.106065586 0.52700543 -0.18178672 -0.15392622 0.07662277 0.573545 -0.27766666 0.15595819 0.047947492 0.38482967 0.04490188 -0.05082417 -0.07473722 0.33759776 -0.5397878 -0.42083868 -0.12605236 0.09727746 -0.19302136 0.113871895 -0.014663125 -0.1306977 -0.40642458 0.06790731 -0.41980115 -0.19611517 0.04312849 -0.24522394 -0.34701902 0.03654702 -0.17222415 0.2539006 0.01425288 0.29263002 0.45662084 0.0432034 -0.009845989 -0.12962894 0.07658502 0.25804895 -0.22152014 0.017139576 -0.2351194 0.3859282 -0.241754 0.2736739 0.26314306 -0.5979968 0.08802488 -0.33926514 -0.0055403616 -0.4047027 -0.040443815 -0.4397659 0.08506116 -0.20091426 0.084379315 -0.22109301 0.24005088 -0.17303701 -0.48545253 0.082590915 0.20674798 -0.027407466 0.43181178 0.4498033 -0.42377192 -0.0668334 0.20468491 0.2923482 -0.3940701 -0.10769625 -0.034449708 -0.051055066 -0.09550762 -0.1173419 0.5958506 -0.06802227 0.13557346 0.20560643 0.30476263 -0.17837343 -0.27362347 0.040127583 0.108189054 -0.37146637 0.4448226 -0.459919 ,40
snowstorm,-0.05625784 -0.02403491 -0.14235714 0.027870663 -0.007701335 -0.13627699 -0.10511198 0.49406546 -0.05990629 -0.4864501 0.3377453 0.050077077 -0.00041892182 -0.0008764708 -0.036374655 -0.01396441 0.1137999 0.2909862 0.03310746 -0.13850035 0.38552275 0.124093175 0.33390936 0.14721815 0.036662478 -0.207226 0.22982652 0.51669276 -0.09641543 -0.18051144 0.14504156 -0.10936474 0.3015469 0.21500282 0.13456792 -0.09463265 -0.18892623 0.6798416 0.01408021 0.034202486 0.101767346 0.47342375 -0.09278447 -0.02059685 0.41963968 0.33866102 -0.15936917 0.12421474 0.0721082 0.283498 -0.1356115 -0.059693433 -0.3725216 0.4076517 -0.40167245 -0.30948377 -0.05179091 0.37100172 -0.3606478 0.08748652 0.029930366 -0.20100303 -0.28419387 0.06297862 -0.26525405 -0.18290874 0.08515075 -0.18936877 -0.3672333 0.15783209 -0.34415182 0.021302078 0.17990848 0.20850655 0.67521685 -0.08686709 0.01892403 -0.21118216 0.14229795 0.28581962 -0.3466785 0.050612405 0.015476996 0.20871665 -0.4233047 0.22330534 0.05882305 -0.21149226 0.11099278 -0.031394176 -0.03380705 -0.38636327 -0.14865442 -0.32459903 0.16273893 -0.32234386 0.04959899 -0.298387 -0.09385382 -0.19738755 -0.27300125 -0.06657565 0.4367242 -0.07886127 0.33408946 0.42057884 -0.436603 0.02774728 0.06590346 0.24933809 -0.1256659 -0.13140538 0.10617033 -0.12968121 0.067328535 0.18905522 0.29990977 0.105175234 -0.057538636 0.25907144 0.15688121 -0.29768527 -0.30045885 -0.10361789 -0.16667382 -0.37065095 0.20537043 -0.34460256 ,65
hailstorm,0.2314984 0.4625386 0.22712143 -0.11592999 -0.0048580403 -0.1451213 0.013873719 0.078206845 -0.033919804 -0.20512162 0.35066018 -0.030333309 -0.46762833 -0.10931135 -0.046930354 -0.20233813 -0.3621749 0.44473392 0.051350072 -0.18719791 0.45458043 0.22543909 0.53935325 0.19968778 0.10803236 -0.46909785 -0.11553766 0.37981254 -0.14339173 -0.2614188 0.004820589 0.0084794 0.32507896 0.2864606 -0.21698302 0.14484163 -0.061355524 0.25588816 -0.1248572 0.14644262 -0.05054877 0.3976819 -0.24711023 -0.13992527 0.23676953 0.09849844 0.2020725 0.035166934 0.30251256 0.21177946 -0.012343679 -0.25480136 -0.0728924 0.15047476 -0.5309842 -0.011077628 0.011599969 0.14573242 -0.32062352 -0.08045674 -0.115485184 -0.09189416 -0.2851032 0.009184063 -0.1428514 -0.07775245 0.053160973 0.08935881 -0.17755501 0.067401566 0.094191454 0.059691936 0.18522622 -0.19085535 0.6946742 0.4130021 -0.1409371 0.22505464 -0.044980437 0.40061277 -0.029222958 -0.023097089 -0.15322152 0.011193616 -0.06621728 0.2404046 0.46544585 0.24696897 0.46917275 0.31020668 -0.08137038 -0.3485727 0.14731316 -0.26733962 -0.035886273 -0.25166833 -0.013566262 0.07756754 0.4410324 -0.028261716 0.15369955 -0.30555627 -0.07117002 0.05075642 0.20839562 0.4242813 -0.28463656 0.41145274 -0.4869925 0.25301644 -0.40307665 -0.23959567 -0.07080837 -0.22238609 -0.24431178 -0.09305031 0.16901557 0.32446405 -0.10437221 0.3071191 0.023549926 -0.24205889 0.10614326 -0.14583501 -0.092120185 -0.026759904 -0.038878027 -0.12731376 ,75
flood,-0.15056819 0.4215927 -0.17023541 0.09517289 -0.02625899 -0.25492525 0.0630849 -0.13227013 -0.36014658 -0.323989 0.24809588 0.0034360725 -0.195258 -0.14422674 -0.21087447 -0.2970426 0.13450184 0.14152215 -0.20934217 -0.07381718 0.30149832 -0.18225022 0.4421121 0.059161793 0.14483002 -0.019242633 0.2687758 0.39081317 -0.1939427 -0.22869816 0.297427 -0.049294632 0.11120362 -0.13524058 0.06880525 -0.37372708 0.049373727 -0.15854211 0.08683157 -0.18162006 -0.11458773 0.2963266 -0.25007764 -0.25627625 0.03752579 0.08677009 -0.13052988 0.08202599 0.40255964 0.005205176 -0.2538536 -0.11224849 -0.17603284 0.38024086 -0.2947306 0.1930515 0.3308789 -0.0041673463 -0.123506494 0.2964621 -0.30958468 -0.13728355 -0.1650065 0.2686369 0.06861555 0.097795606 0.071108125 -0.036183912 -0.02613643 -0.17819738 -0.14061134 -0.093785666 0.052241556 -0.010052093 0.36671314 0.0077677513 -0.3090875 0.0769447 0.15225154 0.20683065 -0.35232252 -0.34329495 -0.24170476 -0.36045203 -0.3190218 0.0017900476 0.14231521 0.07135775 0.4059081 0.10012475 0.33096918 -0.25146204 -0.07237694 -0.1784656 -0.08644782 -0.028484348 0.12429514 0.038335875 0.03617884 0.21795368 -0.20645112 -0.028881807 -0.07886918 -0.06981342 0.06286566 0.2150565 -0.15407753 0.11655568 0.001640788 0.060732946 -0.3837909 -0.15489307 -0.0033351919 -0.20432861 -0.092094384 -0.27582172 0.2772623 -0.019241342 -0.0062309187 0.37017807 -0.013231367 -0.006051079 -0.047711246 0.071408994 0.12822649 -0.15802163 0.15767352 -0.118822 ,65
blizzard,-0.18912768 0.15939362 -0.18294322 -0.0653922 -3.2591997e-05 0.13901381 0.2504718 0.2585251 0.09219209 -0.31494027 0.070620246 -0.18494125 -0.1324368 -0.09934775 0.10461651 -0.21274237 0.18119983 0.41372657 0.28858796 -0.10081805 0.14085694 -0.02532149 0.31115666 -0.047453187 -0.07705691 -0.19890255 0.37288457 0.2826468 -0.19749174 -0.15155782 -0.17980221 -0.07543447 0.20649569 -0.0021064302 0.2448508 -0.32097423 0.010217971 0.27349696 -0.028084394 0.034872156 0.0019873974 0.19880594 -0.14814563 -0.20589527 0.09941476 0.5000189 -0.2679685 0.195293 -0.059081603 -0.031677708 -0.42983505 -0.033506032 -0.23092818 0.29555705 -0.35865664 -0.1107688 0.16827159 0.008201709 -0.25520173 -0.005809634 -0.31804666 -0.06440739 -0.13185352 0.14598237 -0.03725456 0.32397816 -0.019333344 0.0626942 -0.34878483 -0.122784555 -0.33378065 -0.06314782 0.50132704 -0.09502545 0.7357891 -0.07734282 0.06881502 -0.20013182 0.29416355 0.05293755 -0.1523581 0.06432339 -0.046525937 -0.08390937 -0.13656195 0.2803568 0.09016077 -0.123088345 0.09969855 -0.13778454 0.22687137 -0.2524652 0.06827779 0.1182279 0.10865087 -0.23866221 -0.17980537 -0.4509833 0.28459883 0.2597575 -0.15212332 -0.11761886 0.0036117025 -0.059607435 0.21365327 0.22173913 -0.37788546 0.1654038 -0.24141645 0.18715842 -0.17625031 -0.08199436 0.28599828 -0.03921138 -0.13065699 0.09285922 0.49401996 -0.1847525 0.15927608 0.43680778 0.032152895 -0.2509999 -0.12949347 -0.18228552 -0.33986458 -0.096084744 0.013622486 0.007975697 ,85
Tsunami,-0.15187894 0.13929151 0.021386974 0.19256747 0.15009806 -0.22563957 -0.021422276 0.25424975 -0.09267559 -0.17843731 -0.16055244 -0.13118073 -0.058627427 0.035160217 -0.056278102 -0.45515868 -0.07226085 0.16120969 -0.40517527 -0.26247597 0.29225734 0.20413841 0.4380613 -0.07838198 -0.04159308 -0.12577258 -0.0785808 0.15658817 -0.029280573 0.22416067 0.54328305 -0.16258912 0.21376127 -0.36406857 0.028830282 -0.23602091 -0.06616066 -0.15846495 -0.054962482 -0.038713884 0.012288372 0.1821081 -0.48324507 -0.3129312 0.019326614 -0.014981147 -0.14995848 0.28860128 0.39784753 -0.34642053 -0.25782922 -0.26274243 0.09516593 0.32571453 -0.939378 -0.05526584 0.01923498 0.027025288 -0.18273942 0.23346265 0.15406367 -0.3227658 -0.24809341 0.61668724 0.020209879 -0.16761187 0.28737798 -0.28721112 0.25468546 0.016970955 -0.06959996 0.13647519 0.18286262 0.478802 0.64227307 -0.528282 -0.047573403 0.09245919 -0.26108915 0.1294401 -0.31773198 0.13994384 -0.040514674 0.019501152 -0.15264179 -0.03823348 0.047973882 0.21729642 0.18126127 0.07311113 0.16972938 -0.29550153 -0.13664587 -0.07342464 -0.036946006 -0.13359949 -0.58736 -0.15882193 -0.16775218 0.1621455 0.111699 -0.099728085 0.20901649 -0.35410586 0.40489268 0.3009637 -0.17197527 -0.059141967 -0.09066434 0.015116896 -0.42216584 -0.14920484 0.33040962 -0.1306002 -0.13900697 0.26311928 0.29293522 0.51062435 0.025137564 0.46013284 -0.10112335 0.3785714 0.1085569 -0.22373107 0.2799414 -0.032177873 0.029403938 -0.27579907 ,90
avalanche,0.23274186 0.22482242 -0.22418544 0.12940286 -0.0017710824 -0.20886618 -0.05641419 0.011689776 -0.27771226 -0.40968096 0.18404168 -0.096309036 -0.09144271 -0.11558097 -0.17427218 -0.24134545 0.18481475 0.03197269 -0.089842856 -0.42095903 0.42851165 0.21655329 0.6417868 0.10490785 0.08273816 -0.3615372 0.09037114 0.24287042 0.0064491522 -0.016613817 0.02718102 -0.14792196 0.1715041 0.14630741 -0.111679286 -0.24889575 0.088063166 0.19079255 -0.16600941 -0.08517215 0.11269506 0.30228597 -0.17090933 -0.36327207 0.34192237 0.22237375 0.016885685 0.2127262 0.22225852 0.055064116 -0.2606321 -0.12653653 -0.051576763 0.25938556 -0.20872317 -0.1375501 -0.00011567836 0.2723532 -0.18048109 -0.12359665 -0.07543206 -0.06120603 -0.09912039 0.2259551 -0.2272214 0.23072073 0.12189314 0.06388755 -0.23259854 -0.11479978 -0.010104863 0.12455223 -0.12786697 0.17918482 0.43189856 -0.07995805 0.3018685 0.015623564 -0.12650485 0.22051392 -0.22034611 -0.08672767 -0.2999827 -0.09035435 0.0052498886 0.03957294 0.010890262 0.22879837 0.256647 -0.09544367 0.23879002 -0.42236742 0.054424066 -0.37813434 -0.070110716 -0.25116038 0.15901609 0.12020765 0.24782139 -0.045594137 -0.08009627 -0.09620917 0.04060725 -0.22216825 -0.03140737 0.1481204 -0.1581858 -0.033058625 -0.077114165 0.17372459 -0.40869504 -0.017815283 -0.0050000967 0.09015253 -0.11730245 0.08009675 0.51685625 0.26789552 0.06466129 0.42561164 0.14404136 -0.027021075 -0.12375306 -0.1800544 -0.03884799 -0.12842602 0.29956523 -0.40164015 ,87
fire,0.035388984 0.3287882 -0.017807472 -0.07031238 -0.38205788 0.079699636 0.11832972 0.19447586 -0.17288494 -0.24881662 0.43696454 -0.0048732613 -0.062091652 -0.33432734 -0.10811719 -0.16503468 -0.10968614 0.07306959 -0.14750347 -0.096181914 0.22174019 -0.22440368 0.29930353 0.06454391 -0.03576531 -0.42351407 -0.14795455 0.11009871 0.009139372 -0.4557103 0.0037317683 -0.103429265 0.33154705 0.16632736 -0.24406669 -0.03067056 -0.16918504 0.028011348 -0.06703251 -0.03938527 0.25019768 0.5489463 -0.2451105 -0.268357 0.030030984 -0.025681159 0.17902927 -0.0799218 0.12925744 0.15112388 0.103456594 -0.18105082 0.1830588 0.29740307 -0.4365412 -0.095596194 0.1611997 0.35239896 0.15995423 0.35860145 -0.068501495 0.1932975 -0.28341788 0.14806788 0.109025225 0.15353745 0.19409153 0.084889986 -0.010328415 0.06791228 0.1757863 0.14656658 -0.0021980035 -0.17113079 0.4215336 -0.05996556 0.05802936 0.17605764 0.22162403 0.46069947 -0.22732286 -0.20391129 -0.07162458 -0.078052305 -0.13830641 0.32128438 0.35046205 0.107158914 0.32019818 0.30965456 0.2522328 -0.31157342 0.03872611 -0.13769662 0.049674407 -0.24406804 -0.060541745 0.09560252 0.16475658 -0.13992515 0.1546508 -0.11981414 -0.04565821 -0.12741196 0.08976704 0.5059899 -0.024634086 0.39977515 -0.22958727 0.12749761 -0.35817042 -0.21324089 -0.08713732 -0.13814779 -0.18468085 0.08942381 0.30891877 0.024155742 -0.07662807 0.2833776 0.17215925 0.051904514 0.06431539 -0.041939348 0.09355017 -0.15764065 -0.1321723 -0.23191716 ,60
wildfire,-0.18963964 0.5526867 -0.32107398 0.06978101 0.06504342 0.0071493415 0.47238132 0.15542205 -0.4469093 -0.59262496 0.2427334 0.10737876 0.07148463 -0.48256335 -0.28691435 -0.005531629 0.06614504 0.39834493 -0.15056501 -0.11196408 0.12667596 -0.28012028 0.11063013 0.04091151 0.13162631 -0.092705056 0.11179509 0.40189663 0.43870732 -0.29462814 0.21447228 0.13217926 0.12074338 -0.19830228 0.36889705 -0.24298523 -0.14119916 -0.006220578 -0.028539391 -0.26606697 -0.06825391 0.28572893 -0.5227583 -0.41730726 0.11717236 0.005537809 0.27229962 0.0048592878 0.45540822 0.15892215 -0.39710987 -0.12969597 0.23819242 0.5299276 -0.2589205 -0.20614351 0.19034618 -0.011018023 0.11010324 0.4409078 -0.34614223 0.11524598 0.077343345 0.29676685 0.0063545657 0.25521675 0.21980724 -0.1322836 -0.3571182 0.021844657 0.28198656 0.1717834 -0.017763292 -0.04739686 0.3352242 -0.033470817 -0.07382598 0.19977733 -0.021083621 0.41050535 0.040792655 0.11533414 -0.2965842 -0.02531592 -0.0692447 0.0028907692 -0.17647718 0.113759495 0.36781773 0.13295913 0.5094078 -0.582643 0.1208404 -0.5829532 0.0076225596 0.103957124 -0.2244586 -0.06971486 0.021772163 0.14000608 -0.30397907 -0.0553047 -0.13665822 0.25039116 -0.123539984 0.36360016 0.19746163 0.076597326 0.3533559 -0.1643203 -0.34050542 -0.043980967 0.16746557 -0.39316115 -0.09222185 -0.35591674 0.62493765 0.40926114 -0.23008716 0.6329678 0.2635757 0.27187228 -0.21974754 0.29723266 -0.044223092 -0.26772398 0.068765976 -0.19970702 ,82
Inferno,0.41238832 0.3212537 0.03713315 -0.43712845 -0.19191113 -0.1086426 0.588229 0.28341314 0.21524279 0.07210466 0.041770913 0.11167431 0.28016752 -0.24853016 -0.17576692 -0.11429773 -0.25630644 -0.2876309 0.097536646 -0.5087426 0.029475681 -0.30091462 0.15335587 0.20734721 -0.22185439 -0.1198601 0.013467997 -0.060814902 -0.15668051 0.059899908 0.40978253 -0.13589466 0.571726 -0.13244541 -0.20173457 -0.022508377 -0.11427456 -0.23281702 0.12440039 0.25690523 -0.35358253 -0.07390447 -0.05747664 -0.468062 -0.7935331 -0.35832345 0.4794398 -0.05581481 0.26105872 -0.3822804 -0.12071388 -0.40252504 0.46512657 0.12212367 -0.7168159 -0.10840175 -0.17583352 0.40773267 -0.10050676 -0.016128547 -0.10192843 0.055044755 -0.07997428 -0.09801576 0.09985745 -0.23173553 -0.1899989 -0.028366521 0.06426687 0.0291335 0.11733542 0.102987185 0.8928568 0.15017071 0.5101445 -0.7359844 -0.40704224 -0.073769726 -0.22887518 0.346472 0.20514898 0.5231177 -0.06349307 -0.28194866 -0.2241326 0.15989888 0.21675564 0.3319586 0.45333567 0.22821218 0.40263385 -0.47326386 -0.1047889 -0.101532154 -0.06623651 -0.25626963 -0.0803092 0.1709329 -0.6126767 0.19758748 -0.41748235 -0.4653623 0.38438955 0.11527268 0.2712163 0.24698438 -0.33249503 0.15681858 -0.33290657 0.24814436 -0.3467899 0.21853372 0.26266885 -0.12082659 -0.2933139 -0.14860778 0.23517728 0.1148189 -0.24843886 -0.044796195 0.108438015 -0.21150412 0.339263 -0.09223136 0.33141226 0.006868398 0.16761303 0.5123718 ,93
